tick	day	mean_energy	std_energy	min_energy	max_energy	pct_hungry	pct_starving
8928	186	15.10	1.19	4.38	17.74	0.4	0.1
8976	187	15.10	1.20	4.57	17.83	0.5	0.1
9024	188	15.10	1.20	4.99	17.79	0.5	0.1
9072	189	15.09	1.21	5.17	17.77	0.5	0.0
9120	190	15.09	1.22	5.38	17.95	0.5	0.0
9168	191	15.08	1.22	6.06	17.87	0.5	0.0
9216	192	15.09	1.23	5.87	17.78	0.6	0.0
9264	193	15.09	1.24	5.67	17.81	0.6	0.0
9312	194	15.08	1.25	5.47	17.70	0.6	0.0
9360	195	15.08	1.26	5.26	17.63	0.6	0.0
9408	196	15.07	1.27	5.04	17.67	0.5	0.0
9456	197	15.07	1.28	4.82	17.94	0.5	0.1
9504	198	15.06	1.29	4.62	17.76	0.5	0.1
9552	199	15.06	1.29	4.41	17.95	0.6	0.1
9600	200	15.06	1.30	4.19	17.86	0.6	0.1
9648	201	15.06	1.31	3.98	17.82	0.5	0.1
9696	202	15.06	1.32	3.77	18.16	0.5	0.1
9744	203	15.06	1.32	3.55	17.97	0.5	0.1
9792	204	15.06	1.33	3.32	18.05	0.6	0.1
9840	205	15.05	1.34	3.10	18.01	0.6	0.1
9888	206	15.05	1.34	2.89	18.06	0.6	0.1
9936	207	15.04	1.35	2.68	18.09	0.6	0.1
9984	208	15.04	1.35	2.48	18.03	0.6	0.1
10032	209	15.04	1.36	2.27	17.85	0.6	0.1
10080	210	15.03	1.36	2.05	17.72	0.6	0.1
10128	211	15.03	1.37	1.84	17.64	0.6	0.1
10176	212	15.03	1.37	1.63	17.91	0.6	0.1
10224	213	15.02	1.38	1.42	17.98	0.7	0.1
10272	214	15.02	1.38	1.21	17.80	0.9	0.1
10320	215	15.02	1.38	0.99	17.76	0.9	0.1
10368	216	15.01	1.39	0.85	17.76	0.9	0.1
10416	217	15.01	1.39	1.03	17.88	1.0	0.1
10464	218	15.01	1.40	1.66	17.83	0.9	0.1
10512	219	15.01	1.40	1.75	17.91	0.9	0.1
10560	220	15.01	1.40	1.56	17.74	0.8	0.1
10608	221	15.01	1.40	1.37	17.72	0.8	0.1
10656	222	15.01	1.39	1.18	17.75	0.7	0.1
10704	223	15.01	1.38	1.02	17.87	0.8	0.1
10752	224	15.00	1.38	0.86	17.81	0.8	0.2
10800	225	15.00	1.38	0.71	17.97	0.8	0.2
10848	226	15.00	1.38	0.63	17.88	0.8	0.1
10896	227	15.00	1.39	0.64	17.75	0.8	0.1
10944	228	15.00	1.38	0.65	17.89	0.8	0.1
10992	229	14.99	1.38	0.81	17.72	0.8	0.1
11040	230	15.00	1.38	1.00	17.74	0.8	0.1
11088	231	15.00	1.38	1.19	17.71	0.9	0.1
11136	232	15.00	1.38	1.85	17.91	0.9	0.1
11184	233	15.00	1.38	2.21	17.85	0.8	0.1
11232	234	15.00	1.38	2.70	17.82	0.9	0.1
11280	235	15.00	1.37	3.08	17.77	0.9	0.1
11328	236	15.00	1.38	3.28	17.60	0.9	0.1
11376	237	15.00	1.38	3.45	17.71	0.9	0.1
11424	238	15.01	1.38	4.03	17.66	0.9	0.1
11472	239	15.00	1.38	4.22	17.67	0.9	0.1
11520	240	15.01	1.38	4.62	17.71	0.9	0.1
11568	241	15.01	1.38	4.41	17.61	0.8	0.1
11616	242	15.02	1.38	4.20	17.95	0.9	0.1
11664	243	15.04	1.38	4.00	18.27	0.9	0.1
11712	244	15.05	1.38	3.79	18.08	0.9	0.1
11760	245	15.07	1.38	3.57	18.11	0.9	0.1
11808	246	15.08	1.39	3.37	17.95	1.0	0.1
11856	247	15.10	1.40	3.16	17.90	1.0	0.2
11904	248	15.11	1.40	2.94	17.73	1.0	0.2
11952	249	15.12	1.41	2.69	17.77	1.0	0.2
12000	250	15.13	1.41	2.42	17.96	1.0	0.2
12048	251	15.14	1.42	2.16	17.86	1.0	0.2
12096	252	15.14	1.43	1.89	17.72	0.9	0.2
12144	253	15.15	1.44	1.61	17.75	0.9	0.2
12192	254	15.16	1.45	1.33	17.87	0.9	0.2
12240	255	15.17	1.45	1.04	17.99	0.9	0.2
12288	256	15.19	1.45	0.75	18.00	0.9	0.2
12336	257	15.20	1.46	0.46	17.84	0.9	0.2
12384	258	15.21	1.47	0.17	17.82	0.8	0.2
12432	259	15.21	1.47	0.00	17.72	0.8	0.2
12480	260	15.21	1.48	0.00	17.76	0.8	0.2
12528	261	15.22	1.48	0.00	17.80	0.8	0.3
12576	262	15.22	1.49	0.00	17.68	0.8	0.3
12624	263	15.23	1.49	0.00	17.67	0.8	0.3
12672	264	15.23	1.48	0.00	17.84	0.9	0.3
12720	265	15.24	1.49	0.00	17.80	0.8	0.3
12768	266	15.24	1.49	0.12	17.74	0.8	0.4
12816	267	15.24	1.49	0.30	17.84	0.8	0.4
12864	268	15.24	1.48	0.50	17.82	0.8	0.3
12912	269	15.25	1.48	0.37	17.69	0.9	0.3
12960	270	15.25	1.48	0.19	17.73	0.9	0.3
13008	271	15.28	1.48	0.03	17.74	0.9	0.4
13056	272	15.31	1.48	0.00	17.80	0.9	0.4
13104	273	15.35	1.47	0.02	17.98	0.9	0.4
13152	274	15.40	1.45	0.23	17.96	0.9	0.4
13200	275	15.43	1.44	0.45	18.06	0.8	0.4
13248	276	15.47	1.42	0.67	17.99	0.8	0.4
13296	277	15.51	1.41	0.82	17.94	0.8	0.4
13344	278	15.55	1.41	1.04	17.95	0.8	0.4
13392	279	15.59	1.39	1.79	17.87	0.8	0.4
13440	280	15.62	1.38	1.97	17.96	0.7	0.4
13488	281	15.65	1.37	1.80	17.92	0.7	0.4
13536	282	15.68	1.35	1.60	18.01	0.7	0.4
13584	283	15.71	1.34	1.43	18.07	0.7	0.4
13632	284	15.74	1.33	1.30	17.95	0.6	0.3
13680	285	15.76	1.32	1.23	17.97	0.6	0.3
13728	286	15.78	1.31	1.17	18.10	0.7	0.3
13776	287	15.81	1.31	1.03	17.95	0.7	0.3
13824	288	15.83	1.30	0.87	17.94	0.6	0.3
13872	289	15.84	1.29	0.71	18.13	0.6	0.2
13920	290	15.86	1.28	0.53	18.08	0.6	0.2
13968	291	15.87	1.26	0.34	18.01	0.6	0.2
